survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_caped,family_size,is_alone
1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,Southampton,yes,False,-15.6344,2,0
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,-2.0844000000000023,6,0
0,1,male,29.69911764705882,0,0,25.925,S,First,man,True,Southampton,no,True,-1.0969000000000015,1,1
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,-16.3823,1,1
0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,-4.884399999999999,1,1
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,-2.6968999999999994,6,0
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,6.29895,3,0
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,7.9031,1,1
0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,-3.482300000000002,1,1
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,7.994700000000001,3,0
0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,Southampton,no,False,-0.8677500000000009,5,0
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,-2.4906500000000023,1,1
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,19.776,1,1
0,3,female,29.69911764705882,8,2,69.55,S,Third,woman,False,Southampton,no,False,-22.90939999999999,11,0
0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,Cherbourg,no,True,4.3406,1,1
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,-3.8281499999999973,7,0
1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,-7.634399999999999,4,0
1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,0.8530999999999977,3,0
0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,Southampton,no,True,-13.1344,1,1
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,4.115600000000001,2,0
1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,-1.4094000000000015,1,1
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,4.115600000000001,3,0
0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,5.365600000000001,1,1
0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,7.994700000000001,2,0
1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,-1.1343999999999994,3,0
1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,-1.9948000000000015,1,1
1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,-61.394799999999975,1,1
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True,8.151,1,1
0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,7.663500000000001,2,0
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,8.151,1,1
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,5.365600000000001,1,1
0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,7.115600000000001,1,1
0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,Southampton,no,False,-22.90939999999999,11,0
0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,10.0323,1,1
0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,8.938500000000001,1,1
1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,7.8406,1,1
0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,6.6343499999999995,2,0
0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,3.9406,2,0
1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,2.4718499999999963,1,1
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,8.151,1,1
1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,-3.6343999999999994,1,1
0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,9.201,1,1
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,1.3656000000000006,1,1
0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,8.901,1,1
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,Queenstown,no,False,8.151,2,0
1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,-44.77190000000002,2,0
1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,7.9031,1,1
0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,-1.6343999999999994,2,0
1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,-26.28025000000001,1,1
0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,7.8406,1,1
0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False,-33.1344,2,0
0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,7.1906,1,1
1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,6.615600000000001,1,1
0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,8.901,1,1
0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,3,female,29.69911764705882,3,1,25.4667,S,Third,woman,False,Southampton,no,False,-0.8677500000000009,5,0
1,1,female,35.0,1,0,83.475,S,First,woman,False,Southampton,yes,False,-29.87190000000001,2,0
0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True,8.1135,1,1
0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True,5.115600000000001,1,1
1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,-3.8281499999999973,7,0
0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,3,female,29.69911764705882,0,0,7.55,S,Third,woman,False,Southampton,no,True,8.451,1,1
0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False,-1.1343999999999994,2,0
1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,-1.2593999999999994,3,0
0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True,5.7280999999999995,1,1
0,3,female,29.69911764705882,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False,4.6385000000000005,2,0
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,4.115600000000001,2,0
0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True,9.0885,1,1
0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,8.938500000000001,1,1
0,1,male,44.0,2,0,90.0,Q,First,man,True,Queenstown,no,False,-33.1344,3,0
0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,8.1135,1,1
1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False,4.615600000000001,3,0
1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False,-14.411499999999997,3,0
0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False,-1.1343999999999994,2,0
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,Southampton,no,True,8.901,1,1
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False,6.6343499999999995,3,0
0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True,-1.4094000000000015,1,1
0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False,3.815599999999998,2,0
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False,1.7593499999999977,3,0
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False,4.242700000000001,3,0
1,1,female,29.69911764705882,0,0,79.2,C,First,woman,False,Cherbourg,yes,True,-27.734400000000008,1,1
1,1,female,30.0,0,0,86.5,S,First,woman,False,Southampton,yes,True,-31.3844,1,1
1,1,female,35.0,0,0,512.3292,C,First,woman,False,Cherbourg,yes,True,-244.2990000000001,1,1
1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False,-1.1343999999999994,2,0
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True,8.151,1,1
1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,-3.8281499999999973,7,0
0,1,male,52.0,1,1,79.65,S,First,man,True,Southampton,no,False,-27.959400000000016,3,0
0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True,19.776,1,1
0,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,no,True,8.151,1,1
0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,3,male,16.0,4,1,39.6875,S,Third,man,True,Southampton,no,False,-7.978149999999999,6,0
1,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,yes,False,8.1135,2,0
1,1,female,58.0,0,1,153.4625,S,First,woman,False,Southampton,yes,False,-64.86564999999999,2,0
1,1,female,35.0,0,0,135.6333,S,First,woman,False,Southampton,yes,True,-55.95105000000001,1,1
0,1,male,29.69911764705882,0,0,31.0,S,First,man,True,Southampton,no,True,-3.6343999999999994,1,1
1,3,male,25.0,0,0,0.0,S,Third,man,True,Southampton,yes,True,19.776,1,1
1,2,female,41.0,0,1,19.5,S,Second,woman,False,Southampton,yes,False,2.1156000000000006,2,0
0,1,male,37.0,0,1,29.7,C,First,man,True,Cherbourg,no,False,-2.9843999999999973,2,0
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,8.151,1,1
1,1,female,63.0,1,0,77.9583,S,First,woman,False,Southampton,yes,False,-27.113550000000004,2,0
0,3,female,45.0,0,0,7.75,S,Third,woman,False,Southampton,no,True,8.151,1,1
0,2,male,29.69911764705882,0,0,0.0,S,Second,man,True,Southampton,no,True,19.776,1,1
0,3,male,7.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,-2.6968999999999994,6,0
1,3,female,35.0,1,1,20.25,S,Third,woman,False,Southampton,yes,False,1.7406000000000006,3,0
